i    arm  ours    far     equerr   hs   rtn 
1    off  12000   28800   766      3    2   
1    on   16800   28800   13503    4    3   
2    off  12000   28800   3436     1    0   
2    on   none    none    4073     4    1   
3    off  12000   28800   381      4    1   
3    on   24000   28800   306      9    3   
4    off  none    none    12417    1    0   
4    on   7200    28800   34       4    2   
5    off  12000   28800   2720     1    1   
5    on   19200   28800   816      1    0   
6    off  12000   28800   113      4    1   
6    on   16800   28800   211      6    1   
7    off  24000   28800   759      6    5   
7    on   16800   28800   759      2    2   
8    off  9600    28800   4173     1    0   
8    on   16800   28800   322      3    3   
9    off  12000   28800   2762     1    1   
9    on   16800   28800   273      3    1   
10   off  none    none    na       0    0   
10   on   16800   28800   1088     1    0   
11   off  12000   28800   2750     1    1   
11   on   none    none    na       0    0   
12   off  12000   28800   2888     1    0   
12   on   4800    28800   114      6    2   
13   off  12000   28800   249      2    2   
13   on   19200   28800   291      5    1   
14   off  16800   28800   10203    3    3   
14   on   16800   28800   952      1    0   
15   off  12000   28800   329      2    1   
15   on   19200   28800   328      8    2   
16   off  12000   28800   107      4    1   
16   on   16800   28800   1508     1    1   
17   off  21600   21600   273      3    3   
17   on   14400   28800   250      6    1   
18   off  14400   14400   390      11   2   
18   on   7200    28800   156      4    3   
19   off  24000   28800   670      5    5   
19   on   26400   28800   207      5    5   
20   off  14400   28800   291      6    4   
20   on   16800   28800   672      5    1   

  arm    n  our rate median  equerr median    hs  retrain
  off   20            12000           1038   2.5      1.0
  on    20            16800            338   4.0      1.0   (2 equerr saturated at 32767, excluded)

  connected: off 18/20, on 18/20
