i    arm  ours    far     equerr   hs   rtn 
1    off  14400   33600   10454    2    2   
1    on   none    none    na       0    0   
2    off  14400   33600   268      3    3   
2    on   19200   33600   670      1    0   
3    off  14400   33600   238      3    1   
3    on   9600    33600   178      2    2   
4    off  14400   33600   68       3    1   
4    on   19200   33600   583      1    0   
5    off  4800    33600   725      2    2   
5    on   none    none    na       0    0   
6    off  14400   33600   317      3    2   
6    on   4800    33600   10689    1    0   
7    off  14400   33600   204      3    1   
7    on   none    none    na       0    0   
8    off  none    none    na       0    0   
8    on   4800    33600   226      3    1   
9    off  12000   33600   32767    3    2   
9    on   none    none    32767    4    3   
10   off  14400   33600   204      3    3   
10   on   none    none    na       0    0   
11   off  none    none    2115     1    0   
11   on   4800    33600   12727    3    1   
12   off  4800    33600   1750     2    0   
12   on   19200   33600   495      2    1   
13   off  none    none    1353     1    0   
13   on   26400   33600   298      2    0   
14   off  4800    33600   11446    3    2   
14   on   4800    33600   11967    1    1   
15   off  16800   33600   208      3    1   
15   on   19200   33600   572      1    1   
16   off  14400   33600   1702     1    1   
16   on   19200   33600   691      1    0   
17   off  none    none    32767    4    3   
17   on   19200   33600   169      3    2   
18   off  14400   33600   2337     2    0   
18   on   19200   33600   660      1    0   
19   off  14400   33600   1778     1    1   
19   on   16800   33600   220      2    1   
20   off  14400   33600   194      3    1   
20   on   19200   33600   11550    4    2   

  arm    n  our rate median  equerr median    hs  retrain
  off   20            14400            645   3.0      1.0   (3 equerr saturated at 32767, excluded)
  on    20            19200            288   1.0      0.5   (2 equerr saturated at 32767, excluded)

  connected: off 16/20, on 15/20
